Feature ID	Taxon	Confidence
001fef2e3b97c10181137c189ec78f9d	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__P.palmC41;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9726827258776884
0020423dfd4b5840042bbadf3a0f2e6d	d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae;g__Candidatus_Omnitrophus;s__	0.9569048668235975
002070cac885ba514cb2219e02e65089	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__MSBL5;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.7615304654984355
002085cbb34bb11f6880884d80760daf	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__	0.966723904328331
0021138ac212aa1b95ac5e62838babe0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Incertae_Sedis;s__	0.983103829514786
0025dad1f822eef0096be2d4c40c6123	d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__BIrii41;g__Incertae_Sedis;s__	0.9139208182175443
00278d273fb80050090ccca7b853cc49	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9518017316334774
0029175d9af9f0d91b2672afe3458296	d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Magasanikbacteria;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.8075611996564644
00291d9b6b7194272beb35b4b6e39f72	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9264329778338873
002983d3d745f4a8ed2ff9a41d8f68fc	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group;g__Incertae_Sedis;s__	0.9996150556192618
002a1b204b6828b7065b2cc3de0888a1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Puniceispirillales;f__SAR116_clade;g__Incertae_Sedis;s__	0.8247936519586568
002a58b2205256ed654365ce9403e564	Unassigned	0.31362916676889263
002a924c63efda908a21ea668f945917	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Incertae_Sedis;s__	0.9353549642627671
002c5ccea16f0492e65f4531e32af947	d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9960371529036283
002c5e998e6d1668045c31299e9532d1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9810967674935163
002caaf55f4fc55dd2d8128714d56b10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae	0.9964439740636142
002eddd675c9ee56d48b5bb574652c83	d__Bacteria	0.7175579483974643
002f27c4b95b86f07dbc9d5b4ff5f8b3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinimonadaceae;g__Chitinivorax;s__	0.9996399182387493
003131ca02f0dbc57e447bc975f1b080	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__Incertae_Sedis;s__	0.8606613506759019
00318183816cca5af3d689222492d635	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Incertae_Sedis;s__	0.9111010641351891
00320767f18c8fcf01eae45317db5171	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	0.9989595978447287
0032e32c54c53a3e953365747ca6d480	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.9998994196594082
00333183443468bdf32865e621fe975f	d__Bacteria	0.9999909611209739
0034e837bc22941933a586d2ca957d8c	d__Bacteria	0.9996278077916606
00354ec59e40e5dcfe9c3b4528b01acc	Unassigned	0.6635822757923908
003582b38d72368b20e4a23d5663b130	Unassigned	0.5549650400154297
0035b321d660e5cdbfe29c3a056cf531	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9520450679872551
0036d3bf96cf68fd4cbbe5101ffcdbf1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__GOUTA6;s__	0.8762492250408275
0037639e246a1de8bb96e55ce8043625	d__Bacteria;p__Patescibacteria	0.8488046876744636
0037db299acb5de541c32749d6e605e8	Unassigned	0.48010179438440204
00380b125b516fe379aea871891a292e	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Incertae_Sedis;s__	0.8127568066754354
0039cd98e547a2f9beb3bbfe631fa17e	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9400367566361741
0039fda6bd72f763c6144200102c720b	Unassigned	0.4726937927771333
003a1791d728c8e8d17c6dcce5b4650a	Unassigned	0.5495173155663389
