"","Df","SumOfSqs","R2","F","Pr(>F)","Significance"
"Salinity",2,1.81957312786806,0.179697906090794,3.61454087770045,0.008,"**"
"Residual",33,8.30616048501389,0.820302093909206,NA,NA,NA
"Total",35,10.1257336128819,1,NA,NA,NA
