"","Df","SumOfSqs","R2","F","Pr(>F)","Significance"
"Location",1,4.33841028717968,0.428453922751865,34.9893824630213,0.001,"***"
"Salinity",2,1.89255363794558,0.186905335484816,7.63174511935202,0.001,"***"
"Residual",32,3.96775019783421,0.391848171157342,NA,NA,NA
"Total",35,10.1257336128819,1,NA,NA,NA
