Location,Subcommunity,TaxRank,Site1,Site2,Bray,Geo_km,Env_distance,Salinity_difference
Biloxi Bay,Abundant,ASV,BIL_ST2,BIL_ST1,0.45328975066082117,2.4523137072883165,1.6817447108223464,3.7799999999999994
Biloxi Bay,Abundant,ASV,BIL_ST3,BIL_ST1,0.7809409600502982,4.924946146929427,2.5942982435868673,5.83
Biloxi Bay,Abundant,ASV,BIL_ST4,BIL_ST1,0.913837180725911,7.625200369705529,3.6935592733697735,7.66
Biloxi Bay,Abundant,ASV,BIL_ST5,BIL_ST1,0.940501127081607,7.534061042212609,4.95639756222932,9.43
Biloxi Bay,Abundant,ASV,BIL_ST6,BIL_ST1,0.9520873939934805,5.2264436749659975,5.78898440570614,10.06
Biloxi Bay,Abundant,ASV,BIL_ST7,BIL_ST1,0.9384135945201976,3.923759708918449,5.649225460967177,11.38
Biloxi Bay,Abundant,ASV,BIL_ST8,BIL_ST1,0.9389856322333369,6.188202358264256,6.257474076514995,12.729999999999999
Biloxi Bay,Abundant,ASV,BIL_ST9,BIL_ST1,0.9402531450438334,7.100625844543973,6.288378639533549,12.67
Biloxi Bay,Abundant,ASV,BIL_ST3,BIL_ST2,0.3453250840639203,2.479889432091768,1.3787288054462645,2.0500000000000007
Biloxi Bay,Abundant,ASV,BIL_ST4,BIL_ST2,0.49055175676369034,5.204038889001725,2.666348315601008,3.880000000000001
Biloxi Bay,Abundant,ASV,BIL_ST5,BIL_ST2,0.5428238505646195,5.462992234982792,4.029984418192875,5.65
Biloxi Bay,Abundant,ASV,BIL_ST6,BIL_ST2,0.5849361521210225,4.036473947450512,4.984113562340889,6.280000000000001
Biloxi Bay,Abundant,ASV,BIL_ST7,BIL_ST2,0.5092063697003771,4.423717400868642,4.5278216049220275,7.600000000000001
Biloxi Bay,Abundant,ASV,BIL_ST8,BIL_ST2,0.5009241499647352,7.767330268341288,5.127153303572157,8.95
Biloxi Bay,Abundant,ASV,BIL_ST9,BIL_ST2,0.4999805018019779,8.666945462177791,5.191194134279291,8.89
Biloxi Bay,Abundant,ASV,BIL_ST4,BIL_ST3,0.15546794964182395,2.741172629156298,1.4234826202275745,1.83
Biloxi Bay,Abundant,ASV,BIL_ST5,BIL_ST3,0.2129701678832255,3.625447301749581,2.8877294668081293,3.5999999999999996
Biloxi Bay,Abundant,ASV,BIL_ST6,BIL_ST3,0.27991817900601657,3.912818427985623,3.92393339970335,4.23
Biloxi Bay,Abundant,ASV,BIL_ST7,BIL_ST3,0.2477730630502966,5.819144526745424,3.258615022028578,5.550000000000001
Biloxi Bay,Abundant,ASV,BIL_ST8,BIL_ST3,0.3239342687320942,9.584281141801412,3.8538931567141934,6.899999999999999
