"","Df","SumOfSqs","R2","F","Pr(>F)","Significance"
"Location",1,3.89252904743712,0.364974813865801,23.8255306144812,0.001,"***"
"Salinity",2,1.47653939164361,0.138444616100031,4.51882748341401,0.001,"***"
"Residual",33,5.3914206841358,0.505515241295442,NA,NA,NA
"Total",36,10.6651990755405,1,NA,NA,NA
