"","Df","SumOfSqs","R2","F","Pr(>F)","Significance"
"Salinity",2,1.38124934396762,0.129509944838758,2.52922942566077,0.01,"**"
"Residual",34,9.28394973157292,0.870490055161242,NA,NA,NA
"Total",36,10.6651990755405,1,NA,NA,NA
