sampleid	Location	Salinity
W_BIL_ST1_2025NOV_01	Biloxi Bay	Freshwater
W_BIL_ST1_2025NOV_02	Biloxi Bay	Freshwater
W_BIL_ST2_2025NOV_01	Biloxi Bay	Freshwater
W_BIL_ST2_2025NOV_02	Biloxi Bay	Freshwater
W_BIL_ST3_2025NOV_01	Biloxi Bay	Freshwater
W_BIL_ST3_2025NOV_02	Biloxi Bay	Freshwater
W_BIL_ST4_2025NOV_01	Biloxi Bay	Freshwater
W_BIL_ST4_2025NOV_02	Biloxi Bay	Moderate Salinity
W_BIL_ST5_2025NOV_01	Biloxi Bay	Moderate Salinity
W_BIL_ST5_2025NOV_02	Biloxi Bay	Moderate Salinity
W_BIL_ST6_2025NOV_01	Biloxi Bay	Moderate Salinity
W_BIL_ST6_2025NOV_02	Biloxi Bay	Moderate Salinity
W_BIL_ST7_2025NOV_01	Biloxi Bay	Moderate Salinity
W_BIL_ST7_2025NOV_02	Biloxi Bay	High Salinity
W_BIL_ST8_2025NOV_01	Biloxi Bay	High Salinity
W_BIL_ST8_2025NOV_02	Biloxi Bay	High Salinity
W_BIL_ST9_2025NOV_01	Biloxi Bay	High Salinity
W_BIL_ST9_2025NOV_02	Biloxi Bay	High Salinity
W_PAS_ST1_2025NOV_01	Pascagoula Bay	Freshwater
W_PAS_ST1_2025NOV_02	Pascagoula Bay	Freshwater
W_PAS_ST2_2025NOV_01	Pascagoula Bay	Freshwater
W_PAS_ST2_2025NOV_02	Pascagoula Bay	Freshwater
W_PAS_ST3_2025NOV_01	Pascagoula Bay	Freshwater
W_PAS_ST3_2025NOV_02	Pascagoula Bay	Freshwater
W_PAS_ST4_2025NOV_01	Pascagoula Bay	Moderate Salinity
W_PAS_ST4_2025NOV_02	Pascagoula Bay	Moderate Salinity
W_PAS_ST5_2025NOV_01	Pascagoula Bay	Moderate Salinity
W_PAS_ST5_2025NOV_02	Pascagoula Bay	Moderate Salinity
W_PAS_ST6_2025NOV_01	Pascagoula Bay	Moderate Salinity
W_PAS_ST6_2025NOV_02	Pascagoula Bay	Moderate Salinity
W_PAS_ST7_2025NOV_01	Pascagoula Bay	Moderate Salinity
W_PAS_ST7_2025NOV_02	Pascagoula Bay	Moderate Salinity
W_PAS_ST8_2025NOV_01	Pascagoula Bay	High Salinity
W_PAS_ST8_2025NOV_02	Pascagoula Bay	High Salinity
W_PAS_ST9_2025NOV_01	Pascagoula Bay	High Salinity
W_PAS_ST9_2025NOV_02	Pascagoula Bay	High Salinity
W_PAS_ST10_2025NOV_01	Pascagoula Bay	High Salinity
W_PAS_ST10_2025NOV_02	Pascagoula Bay	High Salinity
S_EPP_1	Eagle Point Park	
S_EPP_2	Eagle Point Park	
S_GCP_1	Gautier City Park 	
S_GCP_2	Gautier City Park 	
S_PCP_1	Popps Ferry Causeway Park	
S_PCP_2	Popps Ferry Causeway Park	
S_HLP_1	Hiller Park	
S_HLP_2	Hiller Park	
S_RSP_1	River Side Park	
S_RSP_2	River Side Park	
S_RKM_1	Rames Khayat Memorial Park	
S_RKM_2	Rames Khayat Memorial Park	
